"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
356,80,84,3206,2337,8763162.5,817255
356,85,999,2036,1595,5532849.5,871340
360,0,4,0,0,22877435,109467
360,5,9,0,0,23957385.5,12465
360,10,14,22,8,23155542.5,11009
360,15,19,93,8,21985337,23120
360,20,24,116,37,21839595.5,30414
360,25,29,479,175,20903888,30651
360,30,34,410,152,20678029.5,35945
360,35,39,848,347,20871176,48728
360,40,44,1719,699,19395866,65081
360,45,49,2761,1187,17677644,90898
360,50,54,4022,1755,15641492.5,123755
360,55,59,4828,2158,12965276,158395
360,60,64,5326,2503,9858405.5,187228
360,65,69,5006,2668,6862405,204604
360,70,74,3909,2465,4853713.5,231470
360,75,79,2908,2184,3339531,257002
360,80,84,1965,1694,1836502,224122
360,85,999,1264,1215,883653.5,187984
364,0,4,0,0,7558529,18425
364,5,9,0,0,7131945.5,2975
364,10,14,10,16,6176860.5,2604
364,15,19,18,9,5561128,5153
364,20,24,71,13,5852487,6303
364,25,29,87,45,7779631.5,8295
364,30,34,238,111,8994709.5,10313
364,35,39,540,172,8301521.5,11144
364,40,44,833,221,6388138.5,11407
364,45,49,1039,323,5333827.5,14267
364,50,54,1374,481,4500486,16948
364,55,59,1679,652,3857019.5,25257
364,60,64,1862,827,3237128.5,33051
364,65,69,1827,905,2483780.5,46518
364,70,74,1389,799,1556186.5,49898
364,75,79,915,754,960258.5,50945
364,80,84,585,693,571638.5,51297
364,85,999,432,718,318925.5,56686
368,0,4,0,0,5697345,30883
368,5,9,0,0,5646595,2934
368,10,14,0,0,4808317.5,2022
368,15,19,18,18,4331158.5,3431
368,20,24,46,10,3894726.5,4561
368,25,29,54,17,3407349.5,4289
368,30,34,80,45,2820202,4035
368,35,39,120,72,2436015,4460
368,40,44,172,103,2132299,5614
368,45,49,233,139,1836056,7613
368,50,54,284,170,1456817,9421
368,55,59,291,166,1015192.5,10308
368,60,64,258,150,683098.5,11310
368,65,69,277,170,602198.5,16039
368,70,74,217,149,384570,17202
368,75,79,136,104,238022,17708
368,80,84,87,78,118989.5,14810
368,85,999,47,47,54568.5,12222
372,0,4,0,0,312043,185
372,5,9,0,0,348102.5,21
372,10,14,3,0,341491.5,22
372,15,19,3,0,318469.5,75
372,20,24,4,0,297260,101
372,25,29,6,0,287254,122
372,30,34,8,0,325888.5,164
372,35,39,22,3,391142.5,279
372,40,44,50,12,382301,398
372,45,49,99,21,351190,537
372,50,54,161,40,308166,771
372,55,59,247,62,283465.5,1101
372,60,64,350,94,251916.5,1596
372,65,69,435,141,216267,2135
372,70,74,477,204,191444,3373
372,75,79,497,236,126116,4014
372,80,84,355,215,87121,5080
372,85,999,404,259,76380.5,11489
376,0,4,0,0,891708,727
376,5,9,0,0,815193.5,52
376,10,14,3,0,724999,44
376,15,19,6,0,673593.5,102
376,20,24,13,2,618182,135
376,25,29,6,3,584915,151
376,30,34,21,6,580511,193
376,35,39,58,12,564559,283
376,40,44,110,22,540725.5,431
376,45,49,176,36,485534.5,678
376,50,54,232,48,400002.5,973
376,55,59,296,62,374302.5,1617
376,60,64,363,83,348879,2461
376,65,69,391,125,328707.5,3647
376,70,74,401,184,262112,4568
376,75,79,354,223,154275,4733
376,80,84,306,233,129849.5,6945
376,85,999,504,421,129870.5,17432
380,0,4,0,0,2301651,1231
380,5,9,0,0,2659666,152
380,10,14,11,0,2838509,205
380,15,19,20,0,2872390,551
380,20,24,28,0,2959102.5,818
380,25,29,46,1,3152083.5,992
380,30,34,83,22,3301454.5,1227
380,35,39,193,50,3613453,1917
380,40,44,522,132,4279742.5,3743
380,45,49,1244,289,4767492.5,6678
380,50,54,2177,559,4888810.5,11103
380,55,59,3447,886,4462406.5,16497
380,60,64,4681,1191,3856191.5,22910
380,65,69,6552,1851,3469833.5,32720
380,70,74,8987,3222,3269888.5,50454
380,75,79,8984,4052,2678407,72830
380,80,84,8642,5130,2197124,109521
380,85,999,9167,6803,2159726,282247
384,0,4,0,0,4070611.5,71714
384,5,9,0,0,3699864.5,6128
384,10,14,0,0,3325745.5,4373
384,15,19,3,2,2919903,6440
384,20,24,12,21,2427067.5,8258
384,25,29,39,13,2011010,8958
384,30,34,39,28,1651721.5,9398
384,35,39,52,38,1530423,11314
384,40,44,79,63,1295992.5,12138
384,45,49,100,80,983510.5,11874
384,50,54,127,94,722082,11601
384,55,59,148,98,509935,10871
384,60,64,155,100,371887.5,11337
384,65,69,120,81,263109,11266
384,70,74,86,60,166579.5,9893
384,75,79,54,39,104087,8532
384,80,84,31,22,58556,6903
384,85,999,12,9,35465.5,7301
388,0,4,0,0,179325,487
388,5,9,0,0,199639,50
388,10,14,0,0,222455,55
388,15,19,1,0,232003.5,148
388,20,24,2,1,266106.5,262
388,25,29,10,1,264894,310
388,30,34,8,8,250256,379
388,35,39,13,5,222441,478
388,40,44,21,8,186887.5,610
388,45,49,34,16,176309,912
388,50,54,59,29,166754.5,1344
388,55,59,85,49,143381,1769
388,60,64,98,64,110751,2083
388,65,69,104,74,73533.5,2146
388,70,74,104,69,53528,2525
388,75,79,96,66,36409,2744
388,80,84,76,54,17791,2198
388,85,999,82,65,11308.5,2581
392,0,4,0,0,4605260,2226
392,5,9,0,0,5161437.5,387
392,10,14,5,1,5418936,441
392,15,19,12,1,5804135,1193
392,20,24,72,7,6053463.5,2076
392,25,29,273,24,6103250.5,2114
392,30,34,29,107,6675543.5,3019
392,35,39,316,122,7338696,4442
392,40,44,1151,197,8751308.5,7910
392,45,49,3052,606,9585456,14001
392,50,54,5758,1194,8382912.5,19598
392,55,59,8403,2005,7665850,27708
392,60,64,12070,3097,7413859,41970
392,65,69,17438,4693,8669994.5,78498
392,70,74,24030,7103,8804687.5,122941
392,75,79,24734,9958,7302900.5,169528
392,80,84,20656,11360,5530271.5,233415
392,85,999,27757,19998,6523714.5,787762
398,0,4,0,0,1972801.5,4095
398,5,9,0,0,1863263.5,363
398,10,14,0,0,1582069,404
398,15,19,0,0,1188050.5,633
398,20,24,4,2,1190725.5,1184
398,25,29,17,7,1458656,1898
398,30,34,47,27,1587135.5,2837
398,35,39,23,24,1329463.5,3480
398,40,44,58,32,1193584.5,4729
398,45,49,137,73,1096063.5,6381
398,50,54,238,125,999058.5,8461
398,55,59,467,240,1016827,12986
398,60,64,671,344,836273,16534
398,65,69,714,375,616586,18285
398,70,74,516,290,352424.5,16448
398,75,79,284,176,228227,18312
398,80,84,228,156,173054.5,21206
398,85,999,110,97,69994.5,15164
400,0,4,0,0,1191897.5,3691
400,5,9,0,0,1231324,317
400,10,14,0,0,1160759,251
400,15,19,2,0,1019346.5,415
400,20,24,12,5,1001498.5,577
400,25,29,9,6,945921,581
400,30,34,27,13,832764.5,596
400,35,39,60,25,727003.5,698
400,40,44,98,42,632914,933
400,45,49,137,62,558276,1418
400,50,54,174,82,457233.5,1930
400,55,59,184,86,335223.5,2394
400,60,64,165,80,230917,2693
400,65,69,131,67,152049,3020
400,70,74,107,61,100609.5,3422
400,75,79,85,56,66084,3822
400,80,84,53,43,37362.5,3682
400,85,999,30,30,17500,3198
404,0,4,0,0,6846836.5,61628
404,5,9,0,0,6735768.5,6456
404,10,14,2,1,6560876,5574
404,15,19,13,9,5641041,9288
404,20,24,30,17,4738882,13239
404,25,29,72,56,4195587.5,17104
404,30,34,77,33,3785120,21254
404,35,39,92,50,3111193.5,23766
404,40,44,173,89,2474432,24375
404,45,49,265,152,1976240,25076
404,50,54,360,238,1543110.5,25346
404,55,59,456,308,1141254.5,24149
404,60,64,506,325,795965.5,23153
404,65,69,430,281,522037.5,20288
404,70,74,252,212,379615,18966
404,75,79,170,159,231184.5,15109
404,80,84,109,105,145705.5,13588
404,85,999,84,81,126600,23370
408,0,4,0,0,1689212,5989
408,5,9,0,0,1572787.5,1420
408,10,14,0,0,1659482,1137
408,15,19,2,1,1793928,2237
408,20,24,8,4,1941914.5,3463
408,25,29,54,27,1980222,3799
408,30,34,17,8,1837214.5,3839
408,35,39,53,33,1714863.5,4056
408,40,44,137,55,1659313,5205
408,45,49,337,167,2129480,8711
408,50,54,723,393,2046839,12828
408,55,59,923,508,1580990,13278
408,60,64,1216,696,1349748,17754
408,65,69,1071,619,806422.5,17359
408,70,74,921,537,832283,28957
408,75,79,953,593,633461,36183
408,80,84,555,378,362817.5,33995
408,85,999,258,201,164462.5,28473
410,0,4,0,0,1911448.5,1022
410,5,9,0,0,2281802,197
410,10,14,2,0,2258146.5,138
410,15,19,4,1,2706475,286
410,20,24,29,3,3438146.5,470
410,25,29,89,12,3560075,601
410,30,34,113,37,3304481.5,759
410,35,39,304,50,4019207.5,1596
410,40,44,689,103,3877167.5,2633
410,45,49,1288,230,4455576,5171
410,50,54,2146,428,4270049,8502
410,55,59,3108,669,4297638,14048
410,60,64,4147,942,3619011,20474
410,65,69,4403,1083,2464443.5,27602
410,70,74,4017,1254,1894918,34082
410,75,79,3650,1814,1594648.5,48408
410,80,84,2975,2237,1052071,54245
410,85,999,2596,2732,798524.5,88283
414,0,4,0,0,295948,503
414,5,9,0,0,340137,32
414,10,14,0,0,289198.5,27
414,15,19,0,0,243655,50
414,20,24,1,0,227576,55
414,25,29,3,0,213244.5,47
414,30,34,5,1,387443.5,103
414,35,39,9,3,542046.5,219
414,40,44,24,9,549908,383
414,45,49,44,14,488854,618
414,50,54,63,26,334982,811
414,55,59,75,33,226641.5,997
414,60,64,78,35,144840,1155
414,65,69,66,30,81700.5,1151
414,70,74,34,20,36032,882
414,75,79,19,12,22793.5,998
414,80,84,11,8,11560.5,936
414,85,999,4,4,4538.5,768
417,0,4,0,0,813189,3061
417,5,9,0,0,753242.5,117
417,10,14,0,0,590223,136
417,15,19,1,0,508539,213
417,20,24,2,2,546570,439
417,25,29,6,2,588005,708
417,30,34,11,4,533199,893
417,35,39,8,11,395381.5,1049
417,40,44,11,8,327502,1382
417,45,49,19,11,294824.5,1768
417,50,54,27,18,261803,2193
417,55,59,48,33,258456,3163
417,60,64,76,43,189820.5,3527
417,65,69,86,51,123051.5,3460
417,70,74,64,46,56016.5,2518
417,75,79,31,24,34686.5,2924
417,80,84,23,17,32260.5,3997
417,85,999,24,17,16873,3714
418,0,4,0,0,789309,7540
418,5,9,0,0,753408,603
418,10,14,1,0,744373.5,478
418,15,19,3,0,726502.5,800
418,20,24,6,1,704845,1094
418,25,29,16,4,659397,1108
418,30,34,18,9,592433.5,1153
418,35,39,28,12,491585,1231
418,40,44,43,19,402576.5,1414
418,45,49,63,31,336839.5,1785
418,50,54,81,39,287289.5,2322
418,55,59,101,47,239197,2985
418,60,64,111,55,180908.5,3543
418,65,69,105,59,125500.5,3927
418,70,74,83,59,81562,4157
418,75,79,60,50,50580,4223
418,80,84,39,36,27731,3813
418,85,999,23,23,18015,4772
422,0,4,0,0,502939.5,687
422,5,9,0,0,565155,104
422,10,14,1,0,529559.5,81
422,15,19,0,0,501731.5,149
422,20,24,3,0,457608,191
422,25,29,7,2,400080.5,183
422,30,34,9,4,387453,209
422,35,39,30,14,379795.5,272
422,40,44,54,23,345144.5,378
422,45,49,80,34,337635.5,638
422,50,54,101,47,333360.5,1033
422,55,59,120,60,285115,1527
422,60,64,128,66,236417.5,2081
422,65,69,135,70,184088,2902
422,70,74,121,72,137304,3637
422,75,79,86,61,91049.5,4147
422,80,84,65,56,62340,5039
422,85,999,65,63,45129.5,7300
426,0,4,0,0,274520,5424
426,5,9,0,0,254872.5,451
426,10,14,0,0,236153.5,358
426,15,19,0,0,226533,630
426,20,24,1,0,217655.5,1033
426,25,29,1,1,206529,1434
426,30,34,2,2,185659.5,1752
426,35,39,2,2,146443,1832
426,40,44,6,5,110254.5,1710
426,45,49,8,6,83445.5,1590
426,50,54,11,7,72953,1711
426,55,59,10,4,65097,1892
426,60,64,11,6,52393,2039
426,65,69,12,8,36710.5,1885
426,70,74,12,8,25038,1616
426,75,79,11,10,15136,1235
426,80,84,6,6,9731.5,1086
426,85,999,4,4,6576.5,1309
428,0,4,0,0,101896.5,78
428,5,9,0,0,96379.5,13
428,10,14,0,0,100967,15
428,15,19,0,0,90718.5,33
428,20,24,0,0,84907,59
428,25,29,0,0,119287,102
428,30,34,1,0,134882,155
428,35,39,3,0,127660.5,246
428,40,44,7,1,123671.5,385
428,45,49,21,5,133373,606
428,50,54,42,15,128271,892
428,55,59,72,32,139748,1516
428,60,64,132,61,131315.5,2106
428,65,69,174,79,111557.5,2665
428,70,74,202,101,91433,3183
428,75,79,170,102,84046,4288
428,80,84,167,125,65882.5,5108
428,85,999,136,115,50559.5,7967
430,0,4,0,0,735836,12854
430,5,9,0,0,704103.5,1109
430,10,14,0,0,645481.5,778
430,15,19,0,0,541991,1033
430,20,24,1,0,435084.5,1197
430,25,29,5,4,353319.5,1180
430,30,34,7,6,314793,1300
430,35,39,8,7,289862,1549
430,40,44,11,9,248389,1734
430,45,49,14,9,194372,1814
430,50,54,16,12,150523,1959
430,55,59,17,11,113835,2060
430,60,64,18,13,88420.5,2366
430,65,69,16,12,66993.5,2677
430,70,74,13,9,49758.5,3103
430,75,79,9,9,32125,3070
430,80,84,5,5,14844.5,2157
430,85,999,2,2,5557,1305
434,0,4,0,0,633215.5,1611
434,5,9,0,0,668991,244
434,10,14,0,3,663461,232
434,15,19,7,3,602417.5,605
434,20,24,2,0,536389,868
434,25,29,8,7,478482.5,826
434,30,34,19,11,480321,916
434,35,39,41,17,513894,1231
434,40,44,71,22,509515.5,1671
434,45,49,101,33,442707.5,2151
434,50,54,112,32,333610.5,2409
434,55,59,85,29,240328.5,2633
434,60,64,66,30,151277,2498
434,65,69,84,49,113288.5,2920
434,70,74,99,80,84882,3410
434,75,79,106,111,61024.5,4026
434,80,84,98,123,35181.5,3709
434,85,999,75,110,20101,3870
440,0,4,0,0,148220.5,114
440,5,9,0,0,146086,11
440,10,14,0,0,132337.5,12
440,15,19,0,0,135002.5,36
440,20,24,0,0,158186,78
440,25,29,1,1,190212,144
440,30,34,5,3,189129.5,209
440,35,39,4,2,172820,317
440,40,44,11,5,179017,538
440,45,49,28,11,200912.5,907
440,50,54,60,23,205532,1379
440,55,59,117,49,221683,2294
440,60,64,200,89,195071,3033
440,65,69,223,112,156926,3673
440,70,74,236,139,128186,4253
440,75,79,214,148,116926.5,5615
440,80,84,207,170,91867.5,6595
440,85,999,200,186,80967.5,11832
442,0,4,0,0,32796.5,31
442,5,9,0,0,33678.5,2
442,10,14,0,0,32876.5,1
442,15,19,0,0,33249,7
442,20,24,0,0,38260.5,7
442,25,29,0,0,46828.5,13
442,30,34,0,0,48647.5,16
442,35,39,3,0,48653.5,27
442,40,44,5,0,46632.5,38
442,45,49,8,1,46172,73
442,50,54,20,5,46838.5,120
442,55,59,31,8,41827,193
442,60,64,36,11,33962,277
442,65,69,33,13,27124.5,339
442,70,74,41,18,21582,412
442,75,79,38,18,16277,519
442,80,84,42,20,12467,677
442,85,999,59,26,12100,1562
450,0,4,0,0,4010238,44660
450,5,9,0,0,3663149.5,8392
450,10,14,11,0,3350798,4808
450,15,19,6,0,2954171.5,6245
450,20,24,15,9,2651106.5,7810
450,25,29,49,28,2209545,7091
450,30,34,36,20,1788407.5,6252
450,35,39,46,26,1506207,5943
450,40,44,50,30,1321529,6579
450,45,49,62,31,1114809.5,6834
450,50,54,76,47,863180,7602
450,55,59,92,61,685306,8103
450,60,64,108,77,540384.5,9841
450,65,69,122,92,400695,11535
450,70,74,107,89,227293.5,10453
450,75,79,76,70,134456.5,10118
450,80,84,51,49,74276.5,9092
450,85,999,35,35,37580.5,8134
454,0,4,0,0,2948259,25828
454,5,9,0,0,2808186,2570
454,10,14,0,0,2599080,2052
454,15,19,0,0,2152607,3195
454,20,24,10,7,1740014.5,4280
454,25,29,29,23,1440882,5013
454,30,34,36,26,1250971.5,5917
454,35,39,51,36,1106966,7207
454,40,44,47,36,807568,7018
454,45,49,50,40,539392,6131
454,50,54,57,41,401189,5866
454,55,59,32,23,308446,5906
454,60,64,41,30,222083,6036
454,65,69,31,23,168123.5,6327
454,70,74,53,38,151130.5,7770
454,75,79,35,29,106349.5,7576
454,80,84,26,22,65323,6671
454,85,999,14,12,50766,9397
458,0,4,0,0,2610488.5,4408
458,5,9,0,0,2540423.5,398
458,10,14,3,0,2597277.5,367
458,15,19,16,2,2745975.5,811
458,20,24,59,8,2870528.5,1336
458,25,29,56,32,3021620,1726
458,30,34,90,50,3003001.5,2490
458,35,39,204,73,2673154,3476
458,40,44,329,109,2182169,4505
458,45,49,475,170,1915025,6587
458,50,54,668,256,1726430,9796
458,55,59,861,343,1487541.5,13653
458,60,64,1006,413,1212534,17731
458,65,69,1001,459,901797.5,21155
458,70,74,887,497,608319.5,22030
458,75,79,657,475,376829,20865
458,80,84,446,405,206056.5,18972
458,85,999,392,423,124848.5,21845
462,0,4,0,0,38688.5,53
462,5,9,0,0,38538.5,5
462,10,14,0,0,33120.5,5
462,15,19,0,0,31733.5,6
462,20,24,0,0,44865.5,14
462,25,29,2,0,61603,22
462,30,34,1,0,66678,29
462,35,39,2,0,51256.5,30
462,40,44,4,1,35831.5,30
462,45,49,6,2,28039.5,37
462,50,54,6,2,22146,49
462,55,59,6,2,17809,68
462,60,64,6,3,12644,84
462,65,69,6,4,7058,82
462,70,74,2,1,5185.5,134
462,75,79,3,3,4389.5,220
462,80,84,3,3,2978,239
462,85,999,3,3,1943,325
466,0,4,0,0,3819172.5,80630
466,5,9,0,0,3259255.5,9490
466,10,14,2,0,2752152,4786
466,15,19,3,3,2223891.5,5921
466,20,24,24,19,1734789,6650
466,25,29,41,35,1434991,5852
466,30,34,53,43,1235978.5,5509
466,35,39,69,54,1050261.5,5311
466,40,44,83,62,830961.5,5141
466,45,49,93,72,620935,4786
466,50,54,93,72,455741.5,4900
466,55,59,88,69,348002,5329
466,60,64,90,69,279092,6669
466,65,69,93,70,221691,8335
466,70,74,78,58,156301,9889
466,75,79,55,43,94737.5,10122
466,80,84,31,25,37475.5,6662
466,85,999,12,10,11995.5,3595
470,0,4,0,0,23399.5,31
470,5,9,0,0,22407.5,0
470,10,14,0,0,21151,0
470,15,19,0,0,21973.5,1
470,20,24,0,0,32619.5,5
470,25,29,0,0,45279.5,8
470,30,34,1,0,44716,9
470,35,39,2,0,40483,13
470,40,44,4,0,36433.5,18
470,45,49,10,1,30910,34
470,50,54,13,3,28065,53
470,55,59,21,6,31095.5,107
470,60,64,31,9,30291,202
470,65,69,40,14,28001,352
470,70,74,49,24,28050.5,486
470,75,79,54,27,16246,472
470,80,84,33,22,12301.5,646
470,85,999,43,27,10211,1205
474,0,4,0,0,18943.5,38
474,5,9,0,0,20313.5,2
474,10,14,0,0,23338.5,1
474,15,19,0,0,24719,5
474,20,24,0,0,22768,5
474,25,29,0,0,17367,5
474,30,34,0,0,15781.5,10
474,35,39,1,0,16410,13
474,40,44,3,0,19876.5,24
474,45,49,7,2,26869,52
474,50,54,13,4,30734,93
474,55,59,19,8,31097.5,144
474,60,64,25,9,26715.5,189
474,65,69,28,10,23047.5,222
474,70,74,31,12,18372,270
474,75,79,28,14,13936.5,338
474,80,84,25,16,11176.5,547
474,85,999,32,27,10778.5,1256
478,0,4,0,0,670434.5,9479
478,5,9,0,0,638058,775
478,10,14,0,0,564414.5,491
478,15,19,0,0,466471,654
478,20,24,3,2,392023.5,691
478,25,29,5,5,330680,597
478,30,34,8,6,278968.5,585
478,35,39,11,7,230373.5,633
478,40,44,14,10,190133.5,729
478,45,49,18,14,159594.5,898
478,50,54,20,16,130313.5,1117
478,55,59,23,16,104779.5,1376
478,60,64,23,16,81178.5,1724
478,65,69,20,14,58642.5,2014
478,70,74,16,11,40103.5,2301
478,75,79,12,10,25267.5,2370
478,80,84,6,4,13732.5,2026
478,85,999,4,4,8679.5,2260
480,0,4,0,0,66551,213
480,5,9,0,0,73358,11
480,10,14,0,0,86941,11
480,15,19,0,0,96379.5,22
480,20,24,1,0,96033,40
480,25,29,0,0,101565.5,54
480,30,34,1,0,89499.5,70
480,35,39,4,0,98311,129
480,40,44,9,3,98419,221
480,45,49,15,5,84953,358
480,50,54,24,13,92152,650
480,55,59,44,15,90389.5,915
480,60,64,58,24,75435.5,1182
480,65,69,66,27,59833,1431
480,70,74,63,25,37858,1344
480,75,79,41,23,22762.5,1187
480,80,84,24,19,14488.5,1193
480,85,999,20,19,11349.5,1861
484,0,4,0,0,10327000.5,28129
484,5,9,0,0,10920338.5,2877
484,10,14,0,1,10947026,3232
484,15,19,26,9,10908176.5,9799
484,20,24,86,26,10551092.5,15958
484,25,29,154,57,10126510.5,18587
484,30,34,275,132,9487787.5,20279
484,35,39,455,180,8961104.5,22972
484,40,44,764,302,8451851,28205
484,45,49,1176,474,7712040.5,35273
484,50,54,1572,654,6706354,43094
484,55,59,1945,832,5594357,53566
484,60,64,2168,996,4532564,64135
484,65,69,2145,1094,3475817,70622
484,70,74,1821,1094,2472992,78487
484,75,79,1426,947,1732923.5,84251
484,80,84,1020,720,1145411,92054
484,85,999,1049,765,1031964,195557
496,0,4,0,0,393868.5,1229
496,5,9,0,0,365929,55
496,10,14,0,1,266436,51
496,15,19,0,0,224727,88
496,20,24,0,2,236305,161
496,25,29,3,2,275926.5,307
496,30,34,6,1,290080.5,475
496,35,39,8,4,241165,651
496,40,44,12,4,217804.5,873
496,45,49,18,5,191026,1153
496,50,54,21,13,163827.5,1491
496,55,59,29,9,139085.5,1816
496,60,64,34,11,92971,1958
496,65,69,27,14,53297,1582
496,70,74,24,7,32778,1478
496,75,79,16,11,24937.5,1629
496,80,84,12,15,13166,1261
496,85,999,6,9,9099,1484
498,0,4,0,0,219984,606
498,5,9,0,0,203982,42
498,10,14,0,0,181635.5,31
498,15,19,0,0,165783,59
498,20,24,0,0,189391.5,114
498,25,29,3,0,241325,183
498,30,34,3,3,273393,354
498,35,39,6,4,232989.5,485
498,40,44,21,14,204991.5,753
498,45,49,63,30,187038.5,1116
498,50,54,117,55,179964,1749
498,55,59,220,108,215472,3264
498,60,64,389,211,209201.5,4843
498,65,69,411,239,176824.5,6231
498,70,74,351,228,90705,4461
498,75,79,135,101,66172.5,5566
498,80,84,98,85,42915.5,5361
498,85,999,51,55,27722.5,5657
499,0,4,0,0,37947,24
499,5,9,0,0,38628.5,4
499,10,14,0,0,38272,4
499,15,19,0,0,39835,8
499,20,24,0,0,41408,14
499,25,29,0,0,41549.5,16
499,30,34,0,0,43694.5,25
499,35,39,1,0,45672.5,38
499,40,44,2,1,43132,60
499,45,49,10,4,40427.5,110
499,50,54,17,7,40060.5,200
499,55,59,28,12,41377,365
499,60,64,37,18,40108.5,587
499,65,69,45,23,34833,747
499,70,74,49,28,22897,775
499,75,79,28,21,17735.5,1036
